time, kategory1, mood1, weekday, kategory2, mood2
3:00, sleep, sleep, thu, sleep, sleep
3:30, sleep, sleep, thu, sleep, sleep
4:00, sleep, sleep, thu, sleep, sleep
4:30, sleep, sleep, thu, sleep, sleep
5:00, sleep, sleep, thu, sleep, sleep
5:30, sleep, sleep, thu, sleep, sleep
6:00, sleep, sleep, thu, sleep, sleep
6:30, sleep, sleep, thu, sleep, sleep
7:00, sleep, sleep, thu, sleep, sleep
7:30, hygiene, neutral, thu, hygiene, good
8:00, food, good, thu, food, good
8:30, Study, neutral, thu, freeTime, super
9:00, Study, neutral, thu, freeTime, super
9:30, onTheWay, neutral, thu, onTheWay, super
10:00, onTheWay, neutral, thu, onTheWay, super
10:30, Study, neutral, thu, Study, super
11:00, Study, neutral, thu, Study, good
11:30, Study, neutral, thu, Study, good
12:00, Study, quiteTired, thu, Study, good
12:30, Study, quiteTired, thu, Study, good
13:00, Study, quiteTired, thu, Study, good
13:30, Study, quiteTired, thu, Study, alomostGood
14:00, Study, quiteTired, thu, food, good
14:30, food, alomostGood, thu, food, good
15:00, Study, neutral, thu, freeTime, super
15:30, Study, neutral, thu, freeTime, super
16:00, Study, quiteTired, thu, Study, super
16:30, Study, quiteTired, thu, Study, good
17:00, Study, quiteTired, thu, Study, good
17:30, Study, Tired, thu, Study, alomostGood
18:00, Study, Tired, thu, Study, alomostGood
18:30, Study, Tired, thu, onTheWay, alomostGood
19:00, Study, Tired, thu, onTheWay, good
19:30, onTheWay, Tired, thu, food, good
20:00, onTheWay, quiteTired, thu, food, good
20:30, food, neutral, thu, freeTime, super
21:00, Study, Tired, thu, Study, alomostGood
21:30, Study, good, thu, Study, quiteTired
22:00, Study, exausted, thu, Study, quiteTired
22:30, Study, exausted, thu, freeTime, alomostGood
23:00, freeTime, neutral, thu, freeTime, good
23:30, hygiene, quiteTired, thu, hygiene, good
0:00, sleep, sleep, fri, sleep, sleep
0:30, sleep, sleep, fri, sleep, sleep
1:00, sleep, sleep, fri, sleep, sleep
1:30, sleep, sleep, fri, sleep, sleep
2:00, sleep, sleep, fri, sleep, sleep
2:30, sleep, sleep, fri, sleep, sleep
3:00, sleep, sleep, fri, sleep, sleep
3:30, sleep, sleep, fri, sleep, sleep
4:00, sleep, sleep, fri, sleep, sleep
4:30, sleep, sleep, fri, sleep, sleep
5:00, sleep, sleep, fri, sleep, sleep
5:30, sleep, sleep, fri, sleep, sleep
6:00, sleep, sleep, fri, sleep, sleep
6:30, sleep, sleep, fri, sleep, sleep
7:00, sleep, sleep, fri, sleep, sleep
7:30, sleep, sleep, fri, hygiene, good
8:00, hygiene, quiteTired, fri, food, good
8:30, food, neutral, fri, freeTime, good
9:00, food, neutral, fri, freeTime, super
